round_epochs,acc,val_loss,val_acc,loss,batch_size,epochs,first_neuron,last_activation
300,0.013215859720097764,0.3077300473263389,0.0,0.27538869113123887,30,300,12,<function relu at 0x1374010d0>
300,0.01321585955598806,0.0026409479895639315,0.0,0.00497392806766087,20,300,24,<function relu at 0x1374010d0>
200,0.01321585955598806,0.00266836122446285,0.0,0.004989331565583986,20,200,24,<function elu at 0x1372f5e18>
100,0.013215859359056415,0.00271977514453363,0.0,0.0049880473763735285,20,100,24,<function elu at 0x1372f5e18>
200,0.013215859720097764,0.3077300473263389,0.0,0.27538869283797984,30,200,24,<function relu at 0x1374010d0>
100,0.013215859359056415,0.002843000227585435,0.0,0.0050132636917808344,20,100,12,<function elu at 0x1372f5e18>
200,0.01321585955598806,0.0026781251408944003,0.0,0.004990693385864604,20,200,24,<function relu at 0x1374010d0>
200,0.013215859720097764,0.0027100566505013327,0.0,0.004979167113056004,30,200,48,<function elu at 0x1372f5e18>
100,0.013215859720097764,0.002802285230963638,0.0,0.004999055867678268,30,100,48,<function elu at 0x1372f5e18>
200,0.013215859359056415,0.3077300426207091,0.0,0.27538869927108023,10,200,12,<function relu at 0x1374010d0>
100,0.01321585955598806,0.0027071802770686254,0.0,0.004988125246428446,20,100,48,<function elu at 0x1372f5e18>
300,0.01321585955598806,0.30773004994057773,0.0,0.2753886958575984,20,300,12,<function relu at 0x1374010d0>
100,0.013215859359056415,0.0026884433035248598,0.0,0.0050015189779290545,10,100,24,<function relu at 0x1374010d0>
100,0.013215859359056415,0.30773004994057773,0.0,0.2753886987459292,20,100,48,<function relu at 0x1374010d0>
100,0.013215859720097764,0.3077300473263389,0.0,0.27538869598888616,30,100,24,<function relu at 0x1374010d0>
200,0.01321585955598806,0.0026357060087959104,0.0,0.004993307073436481,10,200,12,<function elu at 0x1372f5e18>
300,0.01321585955598806,0.3077300426207091,0.0,0.27538869769562707,10,300,24,<function relu at 0x1374010d0>
100,0.013215859359056415,0.0026629790040795086,0.0,0.004987259209771448,10,100,12,<function elu at 0x1372f5e18>
100,0.013215859720097764,0.002844816919318155,0.0,0.0050522097753615235,30,100,24,<function elu at 0x1372f5e18>
200,0.013215859720097764,0.3077300473263389,0.0,0.275388692181541,30,200,12,<function relu at 0x1374010d0>
100,0.013215859490344178,0.0026603548148271153,0.0,0.0049976703576489236,10,100,24,<function elu at 0x1372f5e18>
200,0.013215859359056415,0.3077300426207091,0.0,0.2753886990085047,10,200,48,<function relu at 0x1374010d0>
300,0.013215859720097764,0.0027027095937611242,0.0,0.004982244896206037,30,300,48,<function elu at 0x1372f5e18>
300,0.013215859359056415,0.3077300426207091,0.0,0.27538869920543635,10,300,48,<function relu at 0x1374010d0>
300,0.013215859720097764,0.0027301436853840164,0.0,0.0049917104901204355,30,300,12,<function elu at 0x1372f5e18>
100,0.013215859490344178,0.3077300426207091,0.0,0.27538870064960175,10,100,48,<function relu at 0x1374010d0>
200,0.01321585955598806,0.0026694665532232377,0.0,0.004972058925177648,20,200,48,<function relu at 0x1374010d0>
300,0.013215859359056415,0.3077300426207091,0.0,0.2753886984833537,10,300,12,<function relu at 0x1374010d0>
100,0.013215859720097764,0.002781607516992249,0.0,0.004991484656191476,30,100,48,<function relu at 0x1374010d0>
300,0.01321585955598806,0.002665135458013729,0.0,0.004978293823262898,20,300,24,<function elu at 0x1372f5e18>
300,0.013215859359056415,0.002593412233532913,0.0,0.004987068784049823,10,300,24,<function elu at 0x1372f5e18>
100,0.013215859720097764,0.003849125540766277,0.0,0.0063710144786615465,30,100,12,<function relu at 0x1374010d0>
100,0.013215859720097764,0.003299986183839409,0.0,0.005676005862341447,30,100,12,<function elu at 0x1372f5e18>
100,0.01321585955598806,0.0027356396976596954,0.0,0.004990263599984447,20,100,24,<function relu at 0x1374010d0>
300,0.013215859359056415,0.002597615324990138,0.0,0.004997260923936373,10,300,48,<function elu at 0x1372f5e18>
300,0.01321585955598806,0.002644701918031563,0.0,0.004984422068887017,20,300,12,<function elu at 0x1372f5e18>
200,0.013215859720097764,0.002725746690932857,0.0,0.004983733751757751,30,200,24,<function elu at 0x1372f5e18>
300,0.013215859720097764,0.0027224633377045393,0.0,0.004996528451039665,30,300,24,<function elu at 0x1372f5e18>
300,0.01321585955598806,0.0025900458955826857,0.0,0.004988353526104849,10,300,12,<function elu at 0x1372f5e18>
300,0.013215859720097764,0.3077300473263389,0.0,0.2753886922471849,30,300,48,<function relu at 0x1374010d0>
200,0.01321585955598806,0.0026720867312529633,0.0,0.004982230957137987,20,200,48,<function elu at 0x1372f5e18>
200,0.013215859720097764,0.002756362548097968,0.0,0.0049828143753439585,30,200,12,<function elu at 0x1372f5e18>
200,0.01321585955598806,0.002717347288700311,0.0,0.0049776599438869215,20,200,12,<function elu at 0x1372f5e18>
300,0.01321585955598806,0.0026402114604583433,0.0,0.00497861612703044,20,300,48,<function elu at 0x1372f5e18>
200,0.013215859490344178,0.002594774910616443,0.0,0.004982686524652765,10,200,24,<function elu at 0x1372f5e18>
200,0.013215859490344178,0.002597876550760447,0.0,0.004982154734334231,10,200,48,<function elu at 0x1372f5e18>
200,0.01321585955598806,0.002604658021019739,0.0,0.0050033226820521285,10,200,24,<function relu at 0x1374010d0>
300,0.013215859720097764,0.3077300473263389,0.0,0.27538869231282875,30,300,24,<function relu at 0x1374010d0>
300,0.01321585955598806,0.30773004994057773,0.0,0.2753886965140372,20,300,48,<function relu at 0x1374010d0>
100,0.013215859359056415,0.0026105031536548936,0.0,0.0049987382097539,10,100,48,<function elu at 0x1372f5e18>
200,0.01321585955598806,0.30773004994057773,0.0,0.27538869776127095,20,200,12,<function relu at 0x1374010d0>
100,0.01321585955598806,0.30773004994057773,0.0,0.2753886970391883,20,100,12,<function relu at 0x1374010d0>
100,0.013215859359056415,0.3077300426207091,0.0,0.27538869927108023,10,100,12,<function relu at 0x1374010d0>
200,0.013215859720097764,0.0027098559382322585,0.0,0.004973404548471457,30,200,48,<function relu at 0x1374010d0>
